state_id,source_episode_id,source_goal,landmark_step,bowl_x,bowl_y,bowl_z,bowl_grasped,top_drawer_joint,top_drawer_displaced,eef_x,eef_y,eef_z
task03_ep000_step0050,libero_goal_task03_ep000_seed0,drawer,50,-0.08038769191788563,0.014455858915628539,0.8984070750980836,0,-0.07554346457685127,1,0.034264419213114024,-0.004610816523535419,1.1063930435491753
task03_ep000_step0100,libero_goal_task03_ep000_seed0,drawer,100,-0.08038769191788563,0.014455858915628539,0.8984070750980836,0,-0.1566957661875862,1,-0.12412315592093087,0.053704471361091216,0.9867957111916693
task03_ep001_step0050,libero_goal_task03_ep001_seed1,drawer,50,-0.09732105033806938,0.010578655971747878,0.8984070750980836,0,-0.06129379729201705,1,0.03457725328054716,-0.010571645996646183,1.1042702225138048
task03_ep001_step0100,libero_goal_task03_ep001_seed1,drawer,100,-0.09732105033806938,0.010578655971747878,0.8984070750980836,0,-0.15996928667745047,1,-0.103580810516567,0.06622957085383929,0.9929908410903984
task03_ep003_step0100,libero_goal_task03_ep003_seed3,drawer,100,-0.08185753788470795,-0.0013755675455056728,0.8984070750980836,0,0.0,0,-0.11245600636798789,-0.038813965311355995,1.133627512280607
task04_ep000_step0050,libero_goal_task04_ep000_seed0,cabinet,50,-0.08888755245646295,-0.0025122398157556014,0.9721240132529053,0,0.0,0,-0.10316283134294911,0.02795622234352538,0.9945132014502679
task04_ep001_step0050,libero_goal_task04_ep001_seed1,cabinet,50,-0.09079495082111043,-0.00618815853188333,1.0022369918132796,0,0.0,0,-0.10503713216114077,0.05303575458995168,1.014883320790711
task04_ep002_step0050,libero_goal_task04_ep002_seed2,cabinet,50,-0.10450960207707932,-0.016704745789653478,0.9547243556803463,1,0.0,0,-0.10210400353234632,0.023003387527789302,0.9845593268361639
task04_ep003_step0050,libero_goal_task04_ep003_seed3,cabinet,50,-0.07857837108421901,0.015192534924022855,0.9585349196996318,1,0.0,0,-0.07255736566529966,0.054194584050485696,0.9868055978920452
task04_ep004_step0050,libero_goal_task04_ep004_seed4,cabinet,50,-0.07111857667921671,0.0020288800577110723,0.9927030325428483,1,0.0,0,-0.09364187114984761,0.03498962947655684,1.0157432452466626
