state_id,condition,layer,span,vlm_rmse
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,observation.images.camera1,0.0005681831389665604
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,observation.images.camera2,0.000685743463691324
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,observation.language,0.16118372976779938
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,observation.state,0.021628722548484802
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,observation.images.camera1,0.00104603823274374
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,observation.images.camera2,0.0011592181399464607
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,observation.language,0.14659760892391205
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,observation.state,0.03700031712651253
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,observation.images.camera1,0.0015609889524057508
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,observation.images.camera2,0.0016439640894532204
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,observation.language,0.15308420360088348
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,observation.state,0.041447028517723083
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,observation.images.camera1,0.0019473963184282184
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,observation.images.camera2,0.0019868561066687107
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,observation.language,0.1328299343585968
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,observation.state,0.041569799184799194
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,observation.images.camera1,0.0006506135105155408
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,observation.images.camera2,0.0007891983259469271
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,observation.language,0.17323362827301025
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,observation.state,0.06294520199298859
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,observation.images.camera1,0.0010636369697749615
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,observation.images.camera2,0.0011921655386686325
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,observation.language,0.16490040719509125
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,observation.state,0.09448031336069107
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,observation.images.camera1,0.0016230166656896472
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,observation.images.camera2,0.0016948044067248702
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,observation.language,0.16538700461387634
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,observation.state,0.09078572690486908
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,observation.images.camera1,0.001997733488678932
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,observation.images.camera2,0.002060814294964075
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,observation.language,0.12820549309253693
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,observation.state,0.0637434870004654
libero_goal_task03_ep000_seed0_step0050,main_mean,3,observation.images.camera1,0.15854217112064362
libero_goal_task03_ep000_seed0_step0050,main_mean,3,observation.images.camera2,0.0005729949334636331
libero_goal_task03_ep000_seed0_step0050,main_mean,3,observation.language,0.01188335195183754
libero_goal_task03_ep000_seed0_step0050,main_mean,3,observation.state,0.01052652858197689
libero_goal_task03_ep000_seed0_step0050,main_mean,7,observation.images.camera1,0.16821184754371643
libero_goal_task03_ep000_seed0_step0050,main_mean,7,observation.images.camera2,0.0010882876813411713
libero_goal_task03_ep000_seed0_step0050,main_mean,7,observation.language,0.015691157430410385
libero_goal_task03_ep000_seed0_step0050,main_mean,7,observation.state,0.017835507169365883
libero_goal_task03_ep000_seed0_step0050,main_mean,11,observation.images.camera1,0.18685241043567657
libero_goal_task03_ep000_seed0_step0050,main_mean,11,observation.images.camera2,0.0019416488939896226
libero_goal_task03_ep000_seed0_step0050,main_mean,11,observation.language,0.02094321697950363
libero_goal_task03_ep000_seed0_step0050,main_mean,11,observation.state,0.024100912734866142
libero_goal_task03_ep000_seed0_step0050,main_mean,15,observation.images.camera1,0.19647634029388428
libero_goal_task03_ep000_seed0_step0050,main_mean,15,observation.images.camera2,0.002812474500387907
libero_goal_task03_ep000_seed0_step0050,main_mean,15,observation.language,0.0292481891810894
libero_goal_task03_ep000_seed0_step0050,main_mean,15,observation.state,0.02538132853806019
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,observation.images.camera1,0.0006573374848812819
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,observation.images.camera2,0.15044987201690674
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,observation.language,0.018334627151489258
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,observation.state,0.011330901645123959
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,observation.images.camera1,0.001736880629323423
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,observation.images.camera2,0.15929877758026123
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,observation.language,0.024946777150034904
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,observation.state,0.020272841677069664
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,observation.images.camera1,0.0028615365736186504
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,observation.images.camera2,0.1774652600288391
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,observation.language,0.03593232482671738
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,observation.state,0.03156432509422302
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,observation.images.camera1,0.003997796680778265
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,observation.images.camera2,0.18705356121063232
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,observation.language,0.05163545161485672
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,observation.state,0.04769456759095192
libero_goal_task03_ep000_seed0_step0100,paraphrase,3,observation.images.camera1,0.0006199741619639099
libero_goal_task03_ep000_seed0_step0100,paraphrase,3,observation.images.camera2,0.0006412171642296016
libero_goal_task03_ep000_seed0_step0100,paraphrase,3,observation.language,0.16127900779247284
libero_goal_task03_ep000_seed0_step0100,paraphrase,3,observation.state,0.022735431790351868
libero_goal_task03_ep000_seed0_step0100,paraphrase,7,observation.images.camera1,0.0011049517197534442
libero_goal_task03_ep000_seed0_step0100,paraphrase,7,observation.images.camera2,0.0010328261414542794
